ID,Inte,Med
253,359,0
268,1307,0
396,108,0
415,878,0
418,1,0
478,304,0
897,426,60
898,157,36
899,727,69
901,8,0
905,8,0
909,79,28
911,20,13
917,448,61
921,260,57
922,350,65
923,362,61
924,474,61
925,300,64
930,413,68
931,76,20
935,8,0
936,435,58
937,140,52
938,29,14
939,432,50
941,620,51
942,329,60
944,210,54
945,639,60
946,565,67
947,493,53
949,48,7
950,755,69
951,459,69
952,642,68
953,138,50
954,47,26
955,76,15
956,11,3
957,18,17
958,30,12
959,516,56
960,17,15
961,664,69
962,8,0
963,11,3
964,554,60
965,565,67
966,465,64
967,657,64
968,21,9
969,499,64
971,30,3
972,480,68
973,737,60
974,534,53
975,288,49
1005,130,34
1007,46,18
1008,81,48
1009,634,59
1010,63,49
1011,139,42
1012,202,57
1013,8,0
1014,378,55
1016,9,2
1017,130,56
1018,8,0
1019,315,63
1020,94,50
1021,342,54
1022,303,54
1024,49,39
1025,245,35
1027,134,43
1028,354,61
1029,16,9
1030,9,6
1031,177,49
1032,135,62
1033,8,0
1034,220,44
1035,34,38
1037,568,69
1038,283,55
1039,114,29
1040,261,49
1041,8,0
1042,12,6
1043,305,63
1044,65,29
1195,2,0
1762,713,66
2673,342,55
2675,208,32
2676,155,33
2681,231,28
2686,288,39
2687,480,43
2688,108,26
2689,78,35
2690,405,66
2691,232,32
2692,54,52
2695,176,33
2759,21,25
2760,35,36
2761,30,59
2763,5,48
3254,737,0
3591,153,0
3654,655,0
3694,23,24
4394,132,36
4400,424,0
4404,23,0
6090,618,0
6091,144,0
8124,310,68
8125,71,50
8126,66,46
8127,135,58
8129,20,37
8130,497,68
8133,275,66
8134,87,35
8135,201,52
8136,120,45
8137,146,66
8138,86,61
8141,68,49
8143,406,64
8144,3,12
8145,256,59
8146,340,54
8147,51,27
8148,216,53
8149,127,56
8150,14,40
8151,220,67
8152,391,68
8153,149,58
8156,489,56
8158,377,65
8159,270,59
8161,31,15
8164,235,64
8165,261,60
8167,200,62
8168,140,64
8170,182,48
8171,57,63
8172,41,35
8173,166,65
8175,41,27
8176,105,46
8177,60,30
8178,170,65
8179,3,4
8182,120,62
8183,79,47
8186,123,60
8187,43,23
8192,128,53
8194,120,59
8196,58,51
8198,39,21
8199,113,53
8201,21,44
8203,249,68
8204,53,45
8205,19,49
8206,20,29
8208,92,68
8210,54,49
8212,72,53
9451,141,63
9452,85,61
9453,90,39
9455,18,4
9456,113,55
9457,20,5
9460,103,38
9463,91,54
9464,262,68
9465,179,63
9466,116,63
9467,75,41
9468,554,68
9469,7,7
9470,7,2
9471,225,69
9473,2,1
9474,220,52
9475,62,14
9633,132,42
9634,178,60
